original_index,x,y
23826,51.92492830391555,4.503493100982855
85396,51.99197460184374,4.47829670083595
72828,51.96243710301812,4.551547498477296
1749,51.85517930525986,4.540920399696436
27699,51.93362060394737,4.415669803655815
171743,51.93501570369379,4.398542603537647
14659,51.89833260461986,4.5780774997443965
86379,51.8918263044778,4.413082800878977
148718,51.92787660388924,4.5527675027648264
13745,51.89593430433998,4.534275799211517
75738,51.91303390397655,4.500641301070261
128444,51.99305380444586,4.455504699498087
133588,51.97797390329074,4.458506000567278
166936,51.98276280504872,4.506173301154291
34533,51.94883270462679,4.556197203138345
145925,51.924103103772964,4.469185401609391
157144,51.90271250327168,4.500319000508168
112667,51.91684630343654,4.444278001720847
105824,51.89129210269686,4.505837400849674
72100,51.96594720292999,4.619264495031312
160270,51.97965980175188,4.585033099333658
50523,51.88645470596002,4.569913902156893
24993,51.927611703873545,4.420187201614734
173485,51.88707630406415,4.550446400049516
57553,51.91064270360529,4.4341385002302305
82376,51.93251170391227,4.588583900166811
134097,51.85722150296461,4.536193200196451
153722,51.94303600338089,4.367726599543047
169387,51.906304604923776,4.491974000782939
14605,51.89784870347116,4.5081799013022295
105760,51.88501480354744,4.496223300869601
68772,51.880841004693366,4.501158800519586
22905,51.92311990386975,4.486631300777434
85708,51.90223220433218,4.552344103567421
161407,51.922240704016566,4.4072027002314424
95020,51.96552800284276,4.593321001415922
19913,51.917291603501745,4.4773837004544905
10127,51.88812190541275,4.547953400446902
138880,51.984789101845955,4.455287999391601
4412,51.86659150435213,4.452908301291801
25646,51.92883040382315,4.40669030204498
105719,51.885487702909224,4.486612200760694
13771,51.895887804412084,4.447882702269119
107404,51.884154804130596,4.430979997538198
143114,51.861753804416544,4.432494901266994
127022,51.89854620365626,4.568406804334854
26658,51.931151903818304,4.481877500794195
166781,51.98954880261042,4.485558301011533
117666,51.932642203930236,4.539010901038341
105787,51.88613790464181,4.491070600823405
